#	type	key	freq
1	T	nn: wind turbine	1852
2	T	n: rotor	848
3	T	nn: wind energy	414
4	T	nn: wind speed	331
5	T	nn: wind power	278
6	T	n: airfoil	236
7	T	n: voltage	214
8	T	a: due	185
9	T	n: hydrogen	156
10	T	n: natura	144
11	T	n: vortex	132
12	T	n: wecs	116
13	T	n: hub	114
14	T	n: deis	110
15	T	nn: wind generator	105
16	T	nn: pitch angle	100
17	T	npn: angle of attack	97
18	T	nn: blade element	96
19	T	n: infrasound	96
20	T	nn: power coefficient	94
21	T	nn: rotor blade	94
22	T	n: tsr	91
23	T	nn: turbine blade	91
24	T	nnn: wind turbine application	86
25	T	n: annex	83
26	T	nn: turbine sound	80
27	T	nn: farm development	79
28	T	ann: low frequency sound	78
29	T	n: ordinance	77
30	T	nn: blade design	77
31	T	nn: project activity	76
32	T	nnn: wind power plant	74
33	T	an: dynamic stall	74
34	T	nn: habitat directive	73
35	T	n: hawt	71
36	T	nn: tip-speed ratio	71
37	T	nnn: wind turbine sound	71
38	T	nn: town board	70
39	T	nnn: wind farm development	69
40	T	n: nacelle	69
41	T	nn: wind resource	66
42	T	an: sound level	65
43	T	ann: offshore wind farm	63
44	T	n: lietuvos	62
45	T	an: small-scale project	60
46	T	nn: emission reduction	60
47	T	a: solar	60
48	T	n: dowec	60
49	T	n: eia	59
50	T	an: reactive power	58
51	T	n: dfig	57
52	T	a: linear	56
53	T	n: vawt	56
54	T	n: flywheel	54
55	T	annn: vertical axis wind turbine	53
56	T	nn: flow field	52
57	T	n: jepirachi	52
58	T	nn: turbine noise	52
59	T	nn: mitigation measure	51
60	T	n: inverter	50
61	T	nn: wind tunnel	49
62	T	nn: project area	49
63	T	nn: conservation objective	49
64	T	n: dba	48
65	T	nnn: wind turbine blade	48
66	T	a: vestibular	48
67	T	n: upme	47
68	T	nn: power production	47
69	T	ann: offshore wind energy	47
70	T	nn: rotor diameter	47
71	T	an: modified blade	47
72	T	n: stator	47
73	T	ann: low frequency noise	46
74	T	nn: guy wire	46
75	T	a: pscad®	46
76	T	ann: offshore wind turbine	46
77	T	n: chord-length	46
78	T	n: rpm	45
79	T	nnn: turbine application page	45
80	T	n: transformer	45
81	T	n: hyperlink	45
82	T	a: colombian	44
83	T	ncnn: sound and health effect	44
84	T	n: nrel	44
85	T	nn: blade length	44
86	T	n: max	43
87	T	nnn: wind turbine noise	43
88	T	nn: power system	43
89	T	an: synchronous generator	43
90	T	n: pmsg	42
91	T	n: mwh	42
92	T	nnn: horizontal-axis wind turbine	42
93	T	nn: reynolds number	42
94	T	annnn: joint implementation project design document	42
95	T	nn: wind velocity	42
96	T	nnnnn: implementation project design document form	42
97	T	anann: joint implementation supervisory committee page	41
98	T	annn: horizontal axis wind turbine	41
99	T	nnn: wind generator system	41
100	T	n: organization	41
101	T	nn: lietuvos elektrine	40
102	T	n: naca	40
103	T	nn: blade pitch	40
104	T	nn: induction factor	40
105	T	nn: turbine technology	40
106	T	nn: grid connection	39
107	T	nnn: expert panel review	39
108	T	an: marine mammal	38
109	T	n: deg	38
110	T	ann: sound pressure level	38
111	T	nn: energy production	37
112	T	n: behavior	37
113	T	nnn: wind turbine concept	37
114	T	n: lfa	36
115	T	nn: water tower	36
116	T	n: scig	36
117	T	a: upwind	35
118	T	an: competent authority	35
119	T	n: actuator	35
120	T	n: ref	34
121	T	nn: power curve	34
122	T	nn: project boundary	34
123	T	n: cos	34
124	T	a: net	34
125	T	n: vol	33
126	T	ann: small wind turbine	33
127	T	nnnn: wind turbine application page	33
128	T	n: substation	33
129	T	nn: power converter	33
130	T	nn: blade geometry	33
131	T	nn: bird directive	32
132	T	n: hswf	32
133	T	n: cdm	32
134	T	n: bem	32
135	T	nn: turbine generator	32
136	T	nnn: wind turbine system	32
137	T	an: rotational speed	31
138	T	n: uab	31
139	T	nn: turbine power	31
140	T	nnn: wind turbine rotor	31
141	T	nn: earth anchor	31
142	T	n: repower	31
143	T	nn: blade shape	31
144	T	nnn: margin emission factor	31
145	T	nn: castelo branco	30
146	T	a: downwind	30
147	T	an: lateral angle	30
148	T	nn: length blade	30
149	T	n: pscad	30
150	T	n: characterization	30
151	T	n: electrolyzer	30
152	T	nn: rotor speed	30
153	T	n: receptor	30
154	T	n: hawts	30
155	T	a: avian	29
156	T	nn: fuel cell	29
157	T	aann: national renewable energy laboratory	29
158	T	ann: domestic wind turbine	29
159	T	a: three-bladed	29
160	T	n: amplitude	29
161	T	nn: rotor plane	29
162	T	nn: crediting period	29
163	T	n: darrieus	28
164	T	nn: van oord	28
165	T	n: vesta	28
166	T	n: topology	28
167	T	a: 3-blade	28
168	T	nn: charge controller	28
169	T	an: maximum power	28
170	T	an: high frequency	28
171	T	nnn: wind turbine technology	28
172	T	nn: tower base	28
173	T	nn: air density	28
174	T	nn: hub height	28
175	T	n: uae	27
176	T	n: ghg	27
177	T	npn: ministry of environment	27
178	T	nn: twist distribution	27
179	T	n: slipstream	27
180	T	nn: drive train	27
181	T	n: aluminum	27
182	T	nn: wind park	26
183	T	a: compensatory	26
184	T	n: decibel	26
185	T	n: ecn	26
186	T	an: co2 emission	26
187	T	nn: blade tip	26
188	T	nn: transmission line	26
189	T	nn: chord length	26
190	T	ann: renewable energy source	25
191	T	n: kwh	25
192	T	an: angular velocity	25
193	T	ncnn: research and development status	25
194	T	nnn: wind turbine generator	25
195	T	ann: axial induction factor	25
196	T	nnn: wind energy development	25
197	T	an: internal file	25
198	T	a: top	25
199	T	an: radial location	25
200	T	nn: page status	25
201	T	npnn: impact of wind farm	25
202	T	ann: average wind speed	25
203	T	ann: dynamic stall vortex	24
204	T	n: vad	24
205	T	a: three-dimensional	24
206	T	nn: lift coefficient	24
207	T	ann: relative wind angle	24
208	T	nnn: wind power station	24
209	T	nn: hydrogen system	24
210	T	an: human impact	24
211	T	an: installed capacity	24
212	T	ann: adverse health effect	24
213	T	nnn: tip speed ratio	24
214	T	nn: thrust coefficient	23
215	T	nnn: dfig wind turbine	23
216	T	npn: integrity of site	23
217	T	n: acm0002	23
218	T	n: eeppm	23
219	T	nn: wind project	23
220	T	n: faa	23
221	T	n: co2	23
222	T	an: electrical energy	23
223	T	an: centrifugal force	23
224	T	ann: hawt blade design	23
225	T	nn: support structure	23
226	T	npn: town of sheldon	22
227	T	n: excitation	22
228	T	ann: general momentum theory	22
229	T	an: compensatory measure	22
230	T	nn: unit specification	22
231	T	nn: farmer bob	22
232	T	nnn: blade element theory	22
233	T	nn: wind industry	22
234	T	npnn: impact of wind turbine	22
235	T	n: xfoil	21
236	T	n: pedersen	21
237	T	nn: actuator disk	21
238	T	n: enercon	21
239	T	nn: ice accretion	21
240	T	nn: water depth	21
241	T	n: kilowatt	21
242	T	nn: energy policy	21
243	T	nnn: wind turbine syndrome	21
244	T	nnn: operation control system	21
245	T	nn: wind farm	488
246	T	a: 1st	20
247	T	n: iii	20
248	T	nn: hearing loss	20
249	T	n: pierpont	20
250	T	nn: induction generator	20
251	T	nn: property line	20
252	T	nn: pm machine	20
253	T	nn: shadow flicker	20
254	T	nn: energy yield	20
255	T	nn: wind technology	20
256	T	nn: bay area	20
257	T	nn: hydrogen storage	20
258	T	ann: local tip-speed ratio	20
259	T	n: sudenai	20
260	T	nn: habitat loss	20
261	T	nn: bem theory	20
262	T	an: vibroacoustic disease	20
263	T	n: tio	19
264	T	nn: guidance document	19
265	T	nnn: wind power project	19
266	T	nn: power control	19
267	T	n: winding	19
268	T	an: mechanical power	19
269	T	n: oscillation	19
270	T	npn: amount of energy	19
271	T	nn: battery bank	19
272	T	n: ers	19
273	T	n: eea	19
274	T	n: ari	19
275	T	nn: blade profile	19
276	T	n: eesg	19
277	T	an: rotational augmentation	19
278	T	n: waye	19
279	T	a: 2-blade	19
280	T	n: alves-pereira	19
281	T	nn: ji project	19
282	T	n: groundwater	19
283	T	n: cut-in	19
284	T	nn: glide ratio	19
285	T	nnn: wind turbine placement	19
286	T	an: environmental noise	19
287	T	n: nysdec	19
288	T	nnn: design tip-speed ratio	19
289	T	n: proc	18
290	T	nn: power electronics	18
291	T	n: schreck	18
292	T	a: meteorological	18
293	T	nn: chord-length distribution	18
294	T	nn: protection system	18
295	T	annn: variable speed wind turbine	18
296	T	an: vestibular system	18
297	T	nn: ice profile	18
298	T	an: axial velocity	18
299	T	ncnn: power and frequency conversion	18
300	T	n: solidity	18
301	T	n: validation	18
302	T	n: aiaa	18
303	T	a: licensed	18
304	T	nn: rotor hub	18
305	T	nn: collision risk	18
306	T	n: vector	18
307	T	nn: turbine operation	18
308	T	ann: low wind speed	18
309	T	ann: full-scale power converter	17
310	T	nnn: rotor blade position	17
311	T	n: iet	17
312	T	n: iec	17
313	T	nn: nest site	17
314	T	a: periodic	17
315	T	an: 3-bladed turbine	17
316	T	nn: surface area	17
317	T	n: delft	17
318	T	a: authorized	17
319	T	an: electrical generator	17
320	T	an: active power	17
321	T	n: scoping	17
322	T	nn: energy potential	17
323	T	nn: wind engineering	17
324	T	an: airborne sound	17
325	T	nn: hearing threshold	17
326	T	n: doi	17
327	T	ann: offshore wind resource	17
328	T	nn: machine pod	17
329	T	n: coordinate	17
330	T	nn: power gener	17
331	T	r: due	17
332	T	an: renewable source	17
333	T	an: aerodynamic force	17
334	T	an: kinetic energy	17
335	T	a: numerical	17
336	T	a: nysted	17
337	T	an: offshore turbine	17
338	T	nn: distribution grid	17
339	T	ann: large wind turbine	17
340	T	nnn: wind farm project	16
341	T	nn: average torque	16
342	T	n: gsc	16
343	T	a: online	16
344	T	nn: land plot	16
345	T	nnn: world health organization	16
346	T	n: convection	16
347	T	an: steady state	16
348	T	nn: side converter	16
349	T	nn: control volume	16
350	T	n: optimization	16
351	T	an: potential mitigation	16
352	T	n: mammoet	16
353	T	nn: persson waye	16
354	T	an: normal operation	16
355	T	an: imperative reason	16
356	T	ann: simulate wind farm	16
357	T	nn: bird specie	16
358	T	nn: nature conservation	16
359	T	an: baseline emission	16
360	T	an: hydraulic pump	16
361	T	npncn: institution of engineering and technology	16
362	T	nn: ieee xplore	16
363	T	n: raptor	16
364	T	a: approximate	16
365	T	nnnnn: chord length blade length blade	15
366	T	nn: vortex theory	15
367	T	nn: project participant	15
368	T	an: solar panel	15
369	T	n: streamtube	15
370	T	ann: dynamic pitch control	15
371	T	nn: energy consumption	15
372	T	nn: min torque	15
373	T	nn: turbine component	15
374	T	annn: domestic wind turbine system	15
375	T	an: physical model	15
376	T	nnnnn: tsr chord length blade length	15
377	T	npn: integrity of natura	15
378	T	nn: grid fault	15
379	T	n: incl	15
380	T	n: loudness	15
381	T	nn: energy output	15
382	T	nn: wind condition	15
383	T	a: land-based	15
384	T	nnn: wind energy potential	15
385	T	nn: max torque	15
386	T	nn: barrier effect	15
387	T	an: standard deviation	15
388	T	nn: ghg emission	15
389	T	a: pursuant	15
390	T	nn: frequency range	15
391	T	nn: wind source	15
392	T	a: infrasound	15
393	T	nn: test turbine	15
394	T	nn: summary ref	15
395	T	nnnnn: length blade length blade pitch	15
396	T	nn: lift force	15
397	T	n: visualization	15
398	T	nn: ballast nedam	15
399	T	n: bladesign	15
400	T	n: anemometer	15
401	T	nnn: wind turbine tower	15
402	T	n: tfpm	15
403	T	ncan: infrasound and low frequency	15
404	T	an: main drive	15
405	T	n: blasting	15
406	T	ann: modern wind turbine	15
407	T	n: pcf	14
408	T	nnn: wind power development	14
409	T	n: conf	14
410	T	n: langston	14
411	T	nnn: wind turbine design	14
412	T	nn: airfoil type	14
413	T	an: hydraulic motor	14
414	T	ann: potential mitigation measure	14
415	T	nan: power electronic converter	14
416	T	ann: permanent magnet generator	14
417	T	nn: rotor disk	14
418	T	n: audiology	14
419	T	n: rectifier	14
420	T	a: tco2	14
421	T	nnn: wind turbine operation	14
422	T	nnn: wind turbine performance	14
423	T	n: cochlea	14
424	T	a: red	14
425	T	nn: energy conservation	14
426	T	nn: collision mortality	14
427	T	an: sound power	14
428	T	n: capacitor	14
429	T	npn: cost of energy	14
430	T	nnn: design power coefficient	14
431	T	nn: boundary layer	14
432	T	nnn: wind energy facility	14
433	T	nnn: direct-drive wind turbine	14
434	T	nn: wind direction	14
435	T	n: phocoena	14
436	T	n: verification	14
437	T	nn: frequency control	14
438	T	nn: low-frequency sound	14
439	T	an: human ear	14
440	T	nn: grid code	14
441	T	n: sub-step	14
442	T	an: baltic sea	14
443	T	nn: wind tower	13
444	T	n: lendimai	13
445	T	n: spa	13
446	T	ann: annual energy production	13
447	T	n: pdd	13
448	T	nn: wind datum	13
449	T	n: kilometer	13
450	T	n: ind	13
451	T	n: gis	13
452	T	nn: model turbine	13
453	T	an: low speed	13
454	T	ann: variable speed concept	13
455	T	an: large turbine	13
456	T	nn: energy bill	13
457	T	nn: energy demand	13
458	T	an: national wind	13
459	T	anpnn: potential impact of wind farm	13
460	T	an: general description	13
461	T	an: aerodynamic load	13
462	T	an: technical report	13
463	T	n: email	13
464	T	n: meentemeyer	13
465	T	nn: load range	13
466	T	nn: pressure field	13
467	T	n: ansi	13
468	T	n: ϕopt	13
469	T	ann: offshore wind power	13
470	T	nn: output part	13
471	T	n: windfarms	13
472	T	nn: tip-loss factor	13
473	T	nn: output power	13
474	T	nn: rfpm machine	13
475	T	nn: turbine foundation	13
476	T	nnnn: wind energy conversion system	13
477	T	a: perpendicular	13
478	T	npnn: effect of wind turbine	13
479	T	n: tco2	13
480	T	nn: case series	13
481	T	npnn: type of wind turbine	13
482	T	ncnn: alves-pereira and castelo branco	13
483	T	acan: active and reactive power	13
484	T	n: alternator	13
485	T	nn: tfpm machine	13
486	T	n: website	13
487	T	an: optimal pitch	13
488	T	n: velocity	183
489	T	nnnnn: blade length blade pitch average	12
490	T	n: defense	12
491	T	n: sec	12
492	T	nn: turbine location	12
493	T	n: mph	12
494	T	n: o&m	12
495	T	a: viscous	12
496	T	an: northern california	12
497	T	an: modified twist	12
498	T	nnn: wind energy project	12
499	T	n: vorticity	12
500	T	nnn: blade pitch angle	12
