#	type	pilot	freq	spec	semScore	isDico	isDistrib
1	T	rotor	848	4,82			
2	T	wind turbine	1854	4,68			
2	V[h]+	wind channel	2	2,20	0,97	0	1
2	V[h]+	Wind turbines-a	2	2,20	0,97	0	1
2	V[h]+	wind power-plant	2	1,90	0,97	0	1
2	V[h]+	wind farm	488	3,20	0,89	0	1
2	V[s]	wind turbine rotor	31	3,38			
2	V[s]+	vertical-axis wind turbine	6	2,37			
2	V[s]	WIND TURBINE APPLICATIONS	86	3,83			
2	V[s]	wind turbine blades	48	3,57			
2	V[h]+	Enfield-Andreau turbine	3	2,37	0,54	0	1
2	V[s]+	wind turbine concepts	37	3,46			
2	V[s]+	wind turbine generator	27	3,02			
2	V[s]+	Domestic Wind Turbines	29	3,35			
2	V[s]+	small wind turbines	33	3,41			
2	V[s]	MW wind turbine	10	2,89			
2	V[s]+	wind turbine technology	28	3,34			
2	V[s]+	wind turbine system	32	3,40			
2	V[s]+	small-scale wind turbines	4	2,50			
2	V[s]+	wind turbine configuration	11	2,63			
2	V[s]	three-bladed wind turbines	8	2,80			
2	V[s]	wind turbine tower	15	3,07			
2	V[s]+	large wind turbines	17	3,12			
2	V[s]+	smaller-scale wind turbines	2	2,20			
2	V[s]+	wind turbine operations	14	3,04			
2	V[s]	wind turbine performance	14	3,04			
2	V[s]	wind turbine component	9	2,85			
2	V[s]	ARI wind turbine	4	2,20			
2	V[s]+	land-based wind turbines	4	2,50			
2	V[s]+	wind turbine foundations	9	2,85			
2	V[s]	wind turbine power	10	2,89			
2	V[s]+	Wind turbine governor	8	2,80			
2	V[s]	wind turbine flow	7	2,74			
2	V[s]	solar wind turbine	3	2,37			
2	V[s]+	commercial wind turbines	7	2,74			
2	V[s]	individual wind turbines	8	2,80			
2	V[s]	optimum wind turbines	3	2,37			
2	V[s]	single wind turbine	7	2,74			
2	V[s]	grid-connected wind turbine	3	2,37			
3	T	wind energy	414	4,51			
3	V[s]	GE Wind Energy	7	2,44			
3	V[s]+	Wind Energy Facility	14	3,04			
3	V[h]+	wind source	15	3,07	0,54	0	1
3	V[s]	wind energy projects	12	2,97			
3	V[s]+	onshore wind energy	6	2,67			
3	V[s]+	wind energy technology	6	2,67			
3	V[s]	Technical wind energy	3	2,37			
3	V[s]+	wind energy application	4	2,50			
3	V[s]+	wind energy generation	3	2,07			
3	V[h]+	wind companies	2	2,20	0,32	0	1
3	V[s]	wind energy calculations	2	2,20			
4	T	wind power	278	4,34			
4	V[s]	wind turbine power	10	2,89			
4	V[s]+	wind power stations	24	3,27			
4	V[s]	Wind Power Project	19	3,17			
4	V[s]	wind power development	14	3,04			
4	V[s]+	wind power generation	11	2,63			
4	V[s]+	wind power capacity	6	2,67			
4	V[s]+	wind power penetration	4	2,50			
4	V[s]	Wind Power Installation	2	2,20			
5	T	airfoil	236	4,26			
6	T	voltage	214	4,22			
7	T	due	185	4,16			
8	T	wind speed	332	4,11			
8	V[s]+	low wind speed	18	3,15			
8	V[s]	relative wind speeds	10	2,89			
8	V[s]	average annual wind speeds	10	2,89			
8	V[h]+	wind turbine	1854	4,68	0,48	0	1
8	V[h]+	wind power-plant	2	1,90	0,47	0	1
8	V[h]+	Wind turbines-a	2	2,20	0,47	0	1
8	V[h]+	wind channel	2	2,20	0,47	0	1
8	V[s]	annual average wind speed	3	2,37			
8	V[s]	meter wind speeds	2	2,20			
8	V[s]	wind speed probability	2	2,20			
8	V[s]	maximum wind speed	2	2,20			
8	V[s]	survival wind speed	2	2,20			
9	T	hydrogen	156	4,09			
10	T	Natura	144	4,05			
11	T	vortex	132	4,01			
12	T	WECS	116	3,96			
13	T	hub	114	3,95			
14	T	DEIS	110	3,93			
15	T	wind generator	105	3,91			
15	V[s]+	wind turbine generator	27	3,02			
15	V[s]	wind generator systems	41	3,50			
15	V[s]	Axial-flux PM wind generator	2	1,90			
15	V[s]	small wind generator	5	2,59			
16	T	pitch angle	100	3,89			
16	V[s]	pitch angle of 90º	10	2,89			
16	V[s]	Optimal pitch angles	8	2,50			
16	V[s]	blade pitch angle	12	2,97			
16	V[h]+	zero-lift angle	2	2,20	0,79	0	1
16	V[s]	pitch angles of 95º	2	2,20			
17	T	angle of attack	97	3,88			
17	V[s]	modified angle of attack	3	2,37			
17	V[s]	optimal angle of attack	3	2,37			
17	V[s]+	low angles of attack	3	2,37			
17	V[s]	ratio versus angle of attacks	2	2,20			
18	T	blade element	96	3,87			
18	V[s]+	blade element theory	22	3,23			
18	V[h]+	blade geometry	33	3,41	0,74	0	1
18	V[h]+	blade planform	2	2,20	0,73	0	1
18	V[h]+	blade shape	31	3,38	0,63	0	1
19	T	power coefficient	94	3,87			
19	V[s]	design power coefficient	16	2,80			
19	V[s]	power coefficient of the rotor	2	2,20			
19	V[s]	power coefficient Cp	2	2,20			
19	V[s]	optimum elemental power coefficient	2	2,20			
19	V[s]	Theoretical maximum power coefficients	3	2,37			
19	V[s]	maximum achievable power coefficients	3	2,37			
19	V[h]+	Power Syst	2	2,20	0,53	0	1
19	V[s]+	power coefficient of wind	2	2,20			
19	V[s]	power coefficient variation	2	2,20			
19	V[h]+	power electronics	18	3,15	0,43	0	1
19	V[h]+	power plants	139	2,43	0,41	0	1
19	V[h]+	power curve	34	3,42	0,36	0	1
20	T	rotor blade	94	3,87			
20	V[s]+	rotor blade position	17	3,12			
20	V[s]	wind turbine rotor blade	4	2,50			
20	V[h]+	length blade	30	3,37	0,30	0	1
21	T	TSR	91	3,85			
22	T	turbine blades	91	3,85			
22	V[s]	blades of wind turbines	5	2,59			
22	V[s]	wind turbine blades	48	3,57			
22	V[s]	horizontal-axis wind turbine blades	10	2,59			
22	V[s]	Axis Wind Turbine Blade	3	2,37			
22	V[s]+	Large Wind Turbine Blades	2	2,20			
23	T	WIND TURBINE APPLICATIONS	86	3,83			
24	T	Annex	83	3,81			
25	T	TURBINE SOUND	80	3,80			
25	V[s]+	WIND TURBINE SOUND	71	3,74			
25	V[h]+	turbine noise	52	3,61	0,65	0	1
25	V[h]+	Nantucket Sound	2	2,20	0,42	0	1
25	V[h]+	turbine exposure	3	2,37	0,33	0	1
26	T	farm development	79	3,79			
26	V[s]+	development of a wind farm	4	2,50			
26	V[s]+	wind farm development	69	3,73			
26	V[s]	future wind farm developments	3	2,37			
26	V[s]	ind farm developments	2	2,20			
26	V[h]+	technology development	3	2,37	0,30	0	1
27	T	low frequency sound	78	3,78			
27	V[ih]+	low frequency noise dose responses	3	2,37	0,65	0	1
27	V[ih]+	Low Frequency Noise	46	3,55	0,65	0	1
27	V[ih]+	higher frequency sounds	4	2,50	0,53	0	1
27	V[ih]+	low frequency tones	2	2,20	0,49	0	1
27	V[ih]+	low levels of sound	2	2,20	0,33	0	1
28	T	ordinance	77	3,78			
29	T	blade design	77	3,78			
29	V[s]+	design of HAWT blades	2	2,20			
29	V[s]	HAWT blade design	24	2,97			
29	V[s]+	sample blade design	9	2,85			
29	V[s]+	blade design program	6	2,67			
29	V[s]	blade design procedure	6	2,67			
29	V[s]	blade design of HAWT	2	2,20			
29	V[h]+	blade geometry	33	3,41	0,34	0	1
29	V[h]+	blade element	96	3,87	0,34	0	1
30	T	project activity	76	3,77			
30	V[s]	CDM project activity	7	2,74			
30	V[h]+	project sponsor	7	2,74	0,66	0	1
30	V[h]+	project boundary	34	3,42	0,49	0	1
31	T	Wind Power Plant	74	3,76			
31	V[ih]+	power curve of a wind	3	2,37	0,48	0	1
32	T	dynamic stall	74	3,76			
32	V[h]+	delayed stall	2	2,20	0,78	0	1
32	V[h]+	static stall	5	2,59	0,36	0	1
32	V[h]+	dynamic response	9	2,85	0,36	0	1
33	T	Habitats Directive	73	3,76			
33	V[h]+	Birds Directive	32	3,40	0,53	0	1
33	V[h]+	habitat loss	20	3,19	0,45	0	1
33	V[h]+	RES Directive	3	2,37	0,44	0	1
33	V[h]+	EIA Directive	10	2,89	0,33	0	1
34	T	HAWT	71	3,74			
35	T	WIND TURBINE SOUND	71	3,74			
35	V[ih]+	wind turbine noise	43	3,53	0,65	0	1
35	V[ih]+	wind turbine exposure	2	2,20	0,33	0	1
36	T	Town Board	70	3,74			
36	V[h]+	Town Clerk	6	1,29	0,89	0	1
36	V[h]+	Town Hall	2	0,45	0,81	0	1
36	V[s]	Sheldon Town Board	4	2,50			
36	V[h]+	Town Supervisor	2	2,20	0,52	0	1
37	T	wind farm development	69	3,73			
37	V[ih]+	development of wind turbine concepts	2	2,20	0,89	0	1
37	V[ih]+	wind turbine development	4	2,50	0,89	0	1
37	V[s]+	offshore wind farm development	5	2,59			
38	T	nacelle	69	3,73			
39	T	wind resource	66	3,71			
39	V[s]	wind energy resources	4	2,50			
39	V[s]+	offshore wind resource	17	3,12			
39	V[s]	wind resource maps	3	2,37			
39	V[s]	Sufficient wind resources	2	2,20			
39	V[h]+	wind farm	488	3,20	0,35	0	1
39	V[h]+	wind turbine	1854	4,68	0,32	0	1
39	V[h]+	wind power-plant	2	1,90	0,31	0	1
39	V[h]+	wind channel	2	2,20	0,31	0	1
39	V[h]+	Wind turbines-a	2	2,20	0,31	0	1
40	T	Lietuvos	62	3,68			
41	T	SMALL-SCALE PROJECTS	60	3,67			
42	T	emission reductions	60	3,67			
42	V[s]	GHG emission reductions	4	2,50			
42	V[s]	estimated emission reductions	5	2,59			
42	V[s]	certified emissions reductions	2	2,20			
42	V[s]	greenhouse gas emission reductions	3	2,37			
42	V[s]	carbon emission reduction	2	2,20			
42	V[h]+	Emission sources	5	2,59	0,34	0	1
43	T	solar	60	3,67			
44	T	DOWEC	60	3,67			
45	T	EIA	59	3,66			
