#	type	pattern	pilot	spec	freq	dFreq
1	T	N	rotor	4,82	848	30
2	T	N N	wind turbine	4,68	1854	37
2	V[s]	N N N	wind turbine rotor	3,38	31	12
2	V[s]	N N N	WIND TURBINE APPLICATIONS	3,83	86	3
2	V[s]	N N N	WIND TURBINE SOUND	3,74	71	2
2	V[s]	N N N	wind turbine blades	3,57	48	12
2	V[s]	A N N	offshore wind turbine	3,26	47	7
2	V[s]	N N N	DFIG wind turbine	3,25	23	2
2	V[s]	N N N	wind turbine noise	3,53	43	3
2	V[s]	N N N	wind turbine concepts	3,46	37	4
2	V[s]	N N N	wind turbine generator	3,02	27	8
2	V[s]	A N N	Domestic Wind Turbines	3,35	29	1
2	V[s]	A N N	small wind turbines	3,41	33	8
2	V[s]	N N N	wind turbine technology	3,34	28	10
2	V[s]+	N N N	wind turbine system	3,40	32	7
2	V[s]	N N N	wind turbine syndrome	3,21	21	2
2	V[s]	N N N	wind turbine tower	3,07	15	9
2	V[s]	A N N	large wind turbines	3,12	17	10
3	T	N N	wind energy	4,51	414	32
3	V[s]	N N N	wind energy potential	3,07	15	5
3	V[s]	A N N	offshore wind energy	3,56	47	7
3	V[s]	N N N	wind energy development	3,29	25	5
3	V[s]	N N N	Wind Energy Facility	3,04	14	5
3	V[s]	N N N	wind energy projects	2,97	12	8
4	T	N N	wind power	4,34	278	26
4	V[s]	N N N	Wind Power Plant	3,76	74	9
4	V[s]	N N N	wind power stations	3,27	24	2
4	V[s]	A N N	offshore wind power	3,01	13	4
4	V[s]	N N N	Wind Power Project	3,17	19	5
4	V[s]	N N N	wind power development	3,04	14	5
5	T	N	airfoil	4,26	236	8
6	T	N	voltage	4,22	214	19
7	T	A	due	4,16	185	32
8	T	N N	wind speed	4,11	332	32
8	V[s]	A N N	average wind speed	3,01	26	13
8	V[s]	A N N	low wind speed	3,15	18	7
9	T	N	hydrogen	4,09	156	3
10	T	N	Natura	4,05	144	2
11	T	N	vortex	4,01	132	7
12	T	N	WECS	3,96	116	1
13	T	N	hub	3,95	114	23
14	T	N	DEIS	3,93	110	1
15	T	N N	wind generator	3,91	105	11
15	V[s]	N N N	wind turbine generator	3,02	27	8
15	V[s]	N N N	wind generator systems	3,50	41	2
16	T	N N	pitch angle	3,89	100	6
16	V[s]	N N N	blade pitch angle	2,97	12	5
17	T	N P N	angle of attack	3,88	97	8
18	T	N N	blade element	3,87	96	4
18	V[s]	N N N	blade element theory	3,23	22	2
19	T	N N	power coefficient	3,87	94	5
20	T	N N	rotor blade	3,87	94	13
20	V[s]	N N N	rotor blade position	3,12	17	1
21	T	N	TSR	3,85	91	4
22	T	N N	turbine blades	3,85	91	16
22	V[s]	N N N	wind turbine blades	3,57	48	12
23	T	N N N	WIND TURBINE APPLICATIONS	3,83	86	3
24	T	N	Annex	3,81	83	7
25	T	N N	TURBINE SOUND	3,80	80	2
25	V[s]	N N N	WIND TURBINE SOUND	3,74	71	2
26	T	N N	farm development	3,79	79	5
26	V[s]	N N N	wind farm development	3,73	69	5
27	T	A N N	low frequency sound	3,78	78	3
28	T	N	ordinance	3,78	77	3
29	T	N N	blade design	3,78	77	4
29	V[s]	A N N	HAWT blade design	2,97	24	1
30	T	N N	project activity	3,77	76	4
