#	type	pattern	pilot	spec	freq	dFreq
1	T	N	rotor	4,82	848	30
2	T	N N	wind turbine	4,56	1855	37
2	V[s]	A N N	ARI-450 wind turbine	1,90	2	1
2	V[s]	N N N	vertical-axis wind turbine	2,37	6	2
2	V[s]	N N N	wind turbine rotor	3,38	31	12
2	V[s]	N N N	WIND TURBINE APPLICATIONS	3,83	86	3
2	V[s]	N N N	WIND TURBINE SOUND	3,74	71	2
2	V[s]	N N N	wind turbine blades	3,57	48	12
2	V[s]	A N N	offshore wind turbine	3,26	47	7
2	V[s]	N N N	DFIG wind turbine	3,25	23	2
2	V[s]	N N N	wind turbine noise	3,53	43	3
2	V[s]	N N N	wind turbine concepts	3,46	37	4
2	V[s]	N N N	wind turbine generator	3,02	27	8
2	V[s]	A N N	Domestic Wind Turbines	3,35	29	1
2	V[s]	N N N	direct-drive wind turbines	2,77	15	1
2	V[s]	A N N	small wind turbines	3,41	33	8
2	V[s]	N N N	MW wind turbine	2,89	10	5
2	V[s]	N N N	wind turbine technology	3,34	28	10
2	V[s]	N N N	wind turbine system	3,40	32	7
2	V[s]	N N N	wind turbine placement	2,89	20	1
2	V[s]	N N N	wind turbine syndrome	3,21	21	2
2	V[s]	A N N	small-scale wind turbines	2,50	4	1
2	V[s]	N N N	wind turbine configuration	2,63	11	2
2	V[s]	A N N	modern wind turbines	2,82	17	7
2	V[s]	A N N	three-bladed wind turbines	2,80	8	2
2	V[s]	N N N	wind turbine tower	3,07	15	9
2	V[s]	A N N	large wind turbines	3,12	17	10
3	T	N N	wind energy	4,51	414	32
3	V[s]	N N N	wind energy potential	3,07	15	5
3	V[s]	A N N	offshore wind energy	3,56	47	7
3	V[s]	N N N	wind energy development	3,29	25	5
3	V[s]	A N N	GE Wind Energy	2,44	7	2
3	V[s]	N N N	Wind Energy Conf	2,59	5	2
3	V[s]	N N N	Wind Energy Facility	3,04	14	5
3	V[s]	N N N	wind energy projects	2,97	12	8
3	V[s]	A N N	onshore wind energy	2,67	6	1
3	V[s]	N N N	wind energy technology	2,67	6	5
3	V[s]	N N N	wind energy research	2,67	6	5
3	V[s]	A N N	large-scale wind energy	2,37	3	1
3	V[s]	A N N	Technical wind energy	2,37	3	1
3	V[s]	N N N	wind energy application	2,50	4	3
3	V[s]	N N N	wind energy resources	2,50	4	3
3	V[s]	N N N	wind energy generation	2,07	3	1
3	V[s]	N N N	wind energy calculations	2,20	2	2
4	T	N N	wind power	4,34	278	26
4	V[s]	N N N	wind turbine power	2,89	10	6
4	V[s]	N N N	Wind Power Plant	3,76	74	9
4	V[s]	N N N	wind power stations	3,27	24	2
4	V[s]	A N N	offshore wind power	3,01	13	4
4	V[s]	N N N	Wind Power Project	3,17	19	5
4	V[s]	N N N	wind power development	3,04	14	5
4	V[s]	N N N	wind power generation	2,63	11	7
4	V[s]	N N N	wind power capacity	2,67	6	3
4	V[s]	N N N	wind power penetration	2,50	4	1
4	V[s]	A N N	Large-scale Wind Power	1,90	2	1
4	V[s]	N N N	Wind Power Installation	2,20	2	2
5	T	N	airfoil	4,26	236	8
6	T	N	voltage	4,22	214	19
7	T	A	due	4,16	185	32
8	T	N N	wind speed	4,11	332	32
8	V[s]	A N N	average wind speed	3,01	26	13
8	V[s]	A N N	low wind speed	3,15	18	7
8	V[s]	N N N	cutoff wind speed	2,20	4	1
8	V[s]	A N N	relative wind speeds	2,89	10	1
8	V[s]	A A N N	average annual wind speeds	2,89	10	1
8	V[s]	N N N	Cut-out wind speed	2,29	5	3
8	V[s]	A N N	undisturbed wind speed	2,59	5	1
8	V[s]	A N N	nominal wind speed	2,37	3	1
8	V[s]	N N N	wind speed cutoff	2,20	2	1
8	V[s]	A N N	variable wind speed	2,37	3	2
8	V[s]	A A N N	annual average wind speed	2,37	3	2
8	V[s]	A N N	respective wind speed	2,20	2	1
8	V[s]	N N N	meter wind speeds	2,20	2	1
8	V[s]	N N N	wind speed probability	2,20	2	1
8	V[s]	A N N	maximum wind speed	2,20	2	1
8	V[s]	N N N	survival wind speed	2,20	2	1
9	T	N	hydrogen	4,09	156	3
10	T	N	Natura	4,05	144	2
11	T	N	vortex	4,01	132	7
12	T	N	WECS	3,96	116	1
13	T	N	hub	3,95	114	23
14	T	N	DEIS	3,93	110	1
15	T	N N	wind generator	3,91	105	11
15	V[s]	N N N	wind turbine generator	3,02	27	8
15	V[s]	N N N	wind generator systems	3,50	41	2
15	V[s]	N N N N	Axial-flux PM wind generator	1,90	2	1
15	V[s]	A N N	small wind generator	2,59	5	2
16	T	N N	pitch angle	3,89	100	6
16	V[s]	N N P N	pitch angle of 90º	2,89	10	1
16	V[s]	A N N	Optimal pitch angles	2,50	8	1
16	V[s]	N N N	blade pitch angle	2,97	12	5
16	V[s]	N N P N	pitch angles of 95º	2,20	2	1
17	T	N P N	angle of attack	3,88	97	8
17	V[s]	A N P N	modified angle of attack	2,37	3	1
17	V[s]	A N P N	optimal angle of attack	2,37	3	1
17	V[s]	A N P N	low angles of attack	2,37	3	1
17	V[s]	N C N P N	ratio versus angle of attacks	2,20	2	1
18	T	N N	blade element	3,87	96	4
18	V[s]	N N N	blade element theory	3,23	22	2
18	V[s]	A N N	ith blade element	2,67	6	1
18	V[s]	A N N	annular blade element	2,20	2	1
19	T	N N	power coefficient	3,87	94	5
19	V[s]	N N N	design power coefficient	2,80	16	1
19	V[s]	A N N	elemental power coefficient	2,85	9	1
19	V[s]	A N N	maximum power coefficient	2,89	10	3
19	V[s]	N N P N	power coefficient of the rotor	2,20	2	1
